# fsp observer convergence trace, every 5 s
# broad_order=512 broad_mu=0.03 broad_lp=9 fs=3788 start_delay=600 ramp=10
# ||dw|| is the tap change since the previous sample: it flattening is the observer having converged
# t_s n_closed y_wnorm y_wnextnorm y_dwnorm x_wnorm x_wnextnorm x_dwnorm y_drift x_drift y_guard x_guard y_trans x_trans mu
910.034 1174471 3.4578772 3.9328618 0.016150584 2.7620924 3.0550127 0.0015689609 0 0 0 0 0 0 0.032679
915.034 1193413 3.4584589 3.9335126 0.011571167 2.76206 3.0549511 0.0013397459 0 0 0 0 0 0 0.032465
920.034 1212355 3.4589201 3.9340217 0.01009416 2.762037 3.0549055 0.0015752444 0 0 0 0 0 0 0.032268
925.034 1231296 3.4592679 3.9344015 0.0073956411 2.7620066 3.0548489 0.0015241116 0 0 0 0 0 0 0.032087
930.034 1250238 3.4599047 3.9351031 0.0083494986 2.7619939 3.0548138 0.0011050509 0 0 0 0 0 0 0.03192
935.034 1269179 3.4602027 3.935444 0.0069936561 2.7619742 3.0547719 0.001030569 0 0 0 0 0 0 0.031766
940.034 1288121 3.4606557 3.9359465 0.0079481844 2.7619386 3.0547145 0.00094688722 0 0 0 0 0 0 0.031625
945.034 1307063 3.461146 3.9364923 0.0069320477 2.7619029 3.0546565 0.0014892452 0 0 0 0 0 0 0.031495
950.034 1326003 3.4613254 3.9366833 0.01052156 2.7618809 3.0546124 0.00095304982 0 0 0 0 0 0 0.031376
955.034 1344945 3.4619143 3.9373376 0.01121338 2.7618794 3.0545902 0.0013258195 0 0 0 0 0 0 0.031266
960.034 1363886 3.4623155 3.9377782 0.0080057267 2.7618878 3.0545787 0.0010637795 0 0 0 0 0 0 0.031164
965.034 1382828 3.4629354 3.9384571 0.010663624 2.7618835 3.0545538 0.0013989377 0 0 0 0 0 0 0.031071
970.034 1401770 3.463267 3.9388311 0.0099369319 2.7618659 3.0545169 0.0009783644 0 0 0 0 0 0 0.030986
975.034 1420711 3.4638685 3.9394863 0.0060574337 2.7618616 3.0544935 0.0012159386 0 0 0 0 0 0 0.030907
980.034 1439600 3.4642879 3.9399503 0.0086161046 2.7618179 3.0544283 0.0010509332 0 0 0 0 0 0 0.030834
985.035 1458542 3.464752 3.9404582 0.0067044638 2.7617812 3.0543701 0.0025573003 0 0 0 0 0 0 0.030768
990.035 1477483 3.465106 3.9408566 0.0054507177 2.7617733 3.0543402 0.0021338602 0 0 0 0 0 0 0.030706
995.035 1496425 3.4655076 3.9412919 0.011870946 2.7617354 3.0542823 0.0018770791 0 0 0 0 0 0 0.03065
1000.035 1515366 3.466162 3.9419962 0.010859139 2.7617157 3.0542424 0.0011469439 0 0 0 0 0 0 0.030598
1005.035 1534308 3.4670911 3.9430077 0.011479322 2.7616999 3.0542049 0.0014679856 0 0 0 0 0 0 0.03055
