# fsp observer convergence trace, every 5 s
# broad_order=512 broad_mu=0.03 broad_lp=5 fs=3788 start_delay=600 ramp=10
# ||dw|| is the tap change since the previous sample: it flattening is the observer having converged
# t_s n_closed y_wnorm y_wnextnorm y_dwnorm x_wnorm x_wnextnorm x_dwnorm y_drift x_drift y_guard x_guard y_trans x_trans
895.031 1117664 0.36527805 0.3619489 0.0014738642 0.6298337 0.62038431 0.011048226 0 0 0 0 0 0
900.031 1136605 0.36571014 0.36238359 0.0020918627 0.63648346 0.62802507 0.016432778 0 0 0 0 0 0
905.031 1155547 0.36643546 0.36315531 0.0024902476 0.6376536 0.62917122 0.01206992 0 0 0 0 0 0
910.032 1174489 0.36667916 0.36339998 0.0010253235 0.63887521 0.63047471 0.007602677 0 0 0 0 0 0
915.032 1193431 0.36701677 0.36374886 0.00094300918 0.63929933 0.63078097 0.0083322746 0 0 0 0 0 0
920.032 1212372 0.36723683 0.36396522 0.0015288678 0.64139071 0.633025 0.0077134204 0 0 0 0 0 0
925.032 1231313 0.36768089 0.36442538 0.0016749961 0.64359639 0.63547041 0.010743449 0 0 0 0 0 0
930.032 1250254 0.36792857 0.36465962 0.0011594403 0.64515741 0.63708357 0.008389805 0 0 0 0 0 0
935.032 1269195 0.36817541 0.36490641 0.0010737115 0.64584516 0.63775639 0.0088966044 0 0 0 0 0 0
940.032 1288136 0.36851264 0.36525692 0.00070607145 0.64785271 0.63994283 0.014693659 0 0 0 0 0 0
945.032 1307078 0.36955215 0.36635141 0.007944875 0.65189036 0.6442997 0.024250513 0 0 0 0 0 0
950.032 1326019 0.37013362 0.36696189 0.0016576109 0.65658818 0.64970742 0.015176774 0 0 0 0 0 0
955.032 1344961 0.37067126 0.3675252 0.0018470813 0.65689225 0.64979547 0.014275783 0 0 0 0 0 0
960.032 1363902 0.37134811 0.36823837 0.0033976715 0.65776898 0.65069443 0.0070795535 0 0 0 0 0 0
965.032 1382843 0.37156856 0.36844538 0.0017661547 0.65752389 0.65012938 0.014422884 0 0 0 0 0 0
970.032 1401784 0.37182219 0.36867582 0.001366073 0.65697904 0.64920071 0.015059068 0 0 0 0 0 0
975.032 1420726 0.37232455 0.36920893 0.0015561809 0.65922886 0.65156722 0.012247672 0 0 0 0 0 0
980.032 1439668 0.37242664 0.36929422 0.0022669741 0.66224556 0.65483524 0.011136897 0 0 0 0 0 0
985.033 1458609 0.37262633 0.36948803 0.0017149069 0.6637579 0.65636218 0.010528889 0 0 0 0 0 0
990.033 1477551 0.37287567 0.36974214 0.0011621108 0.66443492 0.65697598 0.0093360097 0 0 0 0 0 0
995.033 1496492 0.37316233 0.37004058 0.001071075 0.66596654 0.65861366 0.0066989591 0 0 0 0 0 0
1000.033 1515433 0.37338405 0.37026293 0.0010354515 0.66950491 0.66240724 0.011940893 0 0 0 0 0 0
1005.033 1534375 0.37375298 0.37061924 0.0020495413 0.67518753 0.66870962 0.031628699 0 0 0 0 0 0
1010.033 1553317 0.37416939 0.37099901 0.0033889745 0.67717723 0.67089695 0.021160901 0 0 0 0 0 0
1015.033 1572259 0.37434179 0.37110613 0.003050633 0.67442922 0.66760053 0.033490876 0 0 0 0 0 0
1020.033 1591200 0.37469736 0.37143289 0.0022398229 0.67584623 0.66911971 0.011249827 0 0 0 0 0 0
1025.033 1610142 0.37505902 0.37175879 0.0023398717 0.67901763 0.67268359 0.030146794 0 0 0 0 0 0
1030.033 1629084 0.37569068 0.372375 0.0035878516 0.68198932 0.67574526 0.028437784 0 0 0 0 0 0
1035.033 1648026 0.37603328 0.37273299 0.0011277215 0.68359396 0.67714653 0.018033258 0 0 0 0 0 0
1040.033 1666968 0.37637413 0.37309539 0.00095254841 0.68518025 0.67874665 0.0078179154 0 0 0 0 0 0
1045.034 1685910 0.37675381 0.37350023 0.00076778147 0.68781403 0.68153966 0.017280103 0 0 0 0 0 0
1050.034 1704851 0.37696419 0.37370485 0.00093111983 0.68954989 0.68337199 0.015238891 0 0 0 0 0 0
1055.034 1723792 0.37735965 0.37412776 0.0011938062 0.68983832 0.68345637 0.010375672 0 0 0 0 0 0
1060.034 1742734 0.37754559 0.37430952 0.00091980678 0.69200182 0.68578593 0.0071066537 0 0 0 0 0 0
1065.034 1761676 0.37783771 0.37460486 0.00078791227 0.6932738 0.68702351 0.0085880611 0 0 0 0 0 0
1070.034 1780617 0.37812075 0.37489944 0.00091747418 0.69615941 0.690174 0.011295754 0 0 0 0 0 0
1075.034 1799558 0.37839537 0.37514982 0.0015960065 0.69921555 0.69353177 0.015239561 0 0 0 0 0 0
1080.034 1818500 0.37885796 0.3755865 0.0023778632 0.701597 0.69606155 0.024951912 0 0 0 0 0 0
1085.034 1837442 0.37953279 0.3762593 0.0062965 0.69937505 0.69337431 0.026079698 0 0 0 0 0 0
1090.034 1856384 0.37998955 0.3767294 0.0036968084 0.69902888 0.69276588 0.028042935 0 0 0 0 0 0
1095.034 1875325 0.38060261 0.3773656 0.0026613087 0.69900298 0.69243616 0.021493959 0 0 0 0 0 0
1100.035 1894266 0.3809251 0.37766826 0.0018705194 0.70138904 0.69489005 0.015704087 0 0 0 0 0 0
1105.035 1913208 0.38142619 0.37816983 0.0019500324 0.70284132 0.69589823 0.017094942 0 0 0 0 0 0
1110.035 1932150 0.38201632 0.37876939 0.0018839682 0.70533419 0.69837209 0.015086558 0 0 0 0 0 0
1115.035 1951092 0.38231119 0.37905374 0.0012677395 0.70694139 0.69949081 0.021067625 0 0 0 0 0 0
1120.035 1970034 0.3825685 0.37929525 0.0014481841 0.70812384 0.70019353 0.016613247 0 0 0 0 0 0
1125.035 1988975 0.38287891 0.3795884 0.0013745174 0.70994336 0.70176816 0.02024055 0 0 0 0 0 0
1130.035 2007917 0.38296968 0.37964315 0.0014718706 0.71517585 0.70737575 0.023728433 0 0 0 0 0 0
1135.035 2026859 0.38338229 0.38006148 0.0012958557 0.71856654 0.71057978 0.025199733 0 0 0 0 0 0
1140.036 2045801 0.38360292 0.38022329 0.0033279698 0.7222719 0.71415863 0.035370312 0 0 0 0 0 0
1145.036 2064743 0.38427086 0.38088644 0.0034765135 0.72551016 0.71724847 0.031897303 0 0 0 0 0 0
1150.036 2083685 0.38460746 0.3811772 0.0025876082 0.72974087 0.72171891 0.026547266 0 0 0 0 0 0
1155.036 2102627 0.38487589 0.38140818 0.0019328004 0.732789 0.72419576 0.030581733 0 0 0 0 0 0
1160.036 2121569 0.38494731 0.38141922 0.0025965217 0.73444045 0.72541398 0.024540418 0 0 0 0 0 0
1165.036 2140511 0.38527598 0.38171394 0.0024808087 0.73814244 0.72907216 0.018842531 0 0 0 0 0 0
1170.036 2159452 0.38546871 0.3818619 0.0028445603 0.73944505 0.73026961 0.014795239 0 0 0 0 0 0
1175.036 2178394 0.3859696 0.38234989 0.0029654082 0.74192002 0.73288097 0.014210559 0 0 0 0 0 0
1180.036 2197335 0.38632363 0.38267988 0.0021424994 0.74530251 0.73607919 0.024505787 0 0 0 0 0 0
1185.037 2216277 0.38657621 0.3829012 0.0020308029 0.74842349 0.73913714 0.014839585 0 0 0 0 0 0
1190.037 2235218 0.38691449 0.38321911 0.0024485028 0.75250846 0.7431354 0.018552774 0 0 0 0 0 0
1195.037 2254160 0.38758084 0.38389861 0.0027347437 0.75578467 0.74656344 0.014756485 0 0 0 0 0 0
1200.037 2273101 0.38789256 0.38418781 0.002186784 0.75760368 0.7480406 0.022961162 0 0 0 0 0 0
1205.037 2292043 0.38810776 0.38435977 0.0024571771 0.75984479 0.74999286 0.021735934 0 0 0 0 0 0
1210.037 2310985 0.38839816 0.38460035 0.0035507287 0.76435534 0.75467897 0.022057806 0 0 0 0 0 0
1215.037 2329927 0.38855824 0.38470721 0.0022848288 0.76744012 0.75749087 0.023820523 0 0 0 0 0 0
1220.037 2348869 0.38879934 0.38490515 0.0021363253 0.77173861 0.76200212 0.017782096 0 0 0 0 0 0
1225.037 2367810 0.38904139 0.3851115 0.0018515028 0.77394944 0.76419554 0.014223263 0 0 0 0 0 0
1230.038 2386751 0.38865355 0.38457297 0.0044117596 0.78014126 0.77095688 0.04509566 0 0 0 0 0 0
1235.038 2405692 0.38918398 0.38507682 0.0053185073 0.78999123 0.78113754 0.045110232 0 0 0 0 0 0
1240.038 2424634 0.38908123 0.38483733 0.0032887666 0.79451032 0.78590473 0.043535155 0 0 0 0 0 0
1245.038 2443575 0.38905203 0.38468689 0.0028064765 0.79934043 0.79124882 0.024935512 0 0 0 0 0 0
1250.038 2462516 0.38883698 0.3843033 0.0069989142 0.80845137 0.80137896 0.049933481 0 0 0 0 0 0
1255.038 2481458 0.38965551 0.38477778 0.026498956 0.8170181 0.81051603 0.094775429 0 0 0 0 0 0
1260.038 2500400 0.38984697 0.38474262 0.0084967471 0.82157893 0.81508274 0.061861937 0 0 0 0 0 0
1265.038 2519341 0.39036656 0.38519758 0.0074179826 0.83748151 0.83185308 0.064119712 0 0 0 0 0 0
1270.039 2538283 0.39081648 0.38568405 0.0012995515 0.8418173 0.83629404 0.027122433 0 0 0 0 0 0
1275.039 2557225 0.39157616 0.38651781 0.0015159855 0.84536679 0.84008158 0.023497913 0 0 0 0 0 0
1280.039 2576167 0.39222152 0.38721989 0.0013521453 0.84800609 0.84269853 0.026152371 0 0 0 0 0 0
1285.039 2595108 0.39266068 0.38768959 0.00090909174 0.84860133 0.84311491 0.016458461 0 0 0 0 0 0
1290.039 2614050 0.39301785 0.38806863 0.0010403192 0.84910638 0.84351616 0.014996854 0 0 0 0 0 0
1295.039 2632992 0.39355841 0.38864966 0.0016504041 0.85041567 0.8449604 0.015977419 0 0 0 0 0 0
1300.039 2651933 0.39404708 0.38917923 0.0013186135 0.85176846 0.84638679 0.0185562 0 0 0 0 0 0
1305.039 2670875 0.39449632 0.38965499 0.00095341151 0.85280891 0.84743065 0.020418289 0 0 0 0 0 0
1310.040 2689816 0.39499265 0.39018996 0.0015575557 0.85420479 0.84890197 0.013385651 0 0 0 0 0 0
1315.040 2708757 0.39537019 0.39059849 0.0013390617 0.85532341 0.85010702 0.017926347 0 0 0 0 0 0
1320.040 2727698 0.39595911 0.39124671 0.0016832115 0.85416207 0.84853433 0.013950304 0 0 0 0 0 0
1325.040 2746640 0.39635231 0.39167549 0.0011489161 0.85614631 0.85078454 0.010488756 0 0 0 0 0 0
1330.040 2765582 0.39667965 0.39202053 0.001523875 0.85731976 0.85210881 0.012342037 0 0 0 0 0 0
